,name,address
28,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
29,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
30,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
31,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
32,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
33,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
34,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
35,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
36,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
37,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
38,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
39,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
40,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
41,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
42,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
43,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
44,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
45,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
46,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
47,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
48,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
49,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
50,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
51,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
52,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
53,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
54,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
55,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
56,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
57,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
58,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
59,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
60,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
61,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
62,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
63,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
64,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
65,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
66,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
67,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
68,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
69,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
70,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
71,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
72,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
73,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
74,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
75,귀빈맨션103동앞주차장 전기차충전소,대구 달서구 월배로32안길 61
76,네이처파크 스파벨리 전기차충전소,대구 달성군 가창면 가창로 891
77,대구시 동부소방서 전기차충전소,대구 동구 신천동 73
78,시지근린공원 공영주차장 전기차충전소,대구 수성구 달구벌대로637길 5
79,수성소방서 전기차충전소,대구 수성구 청호로 87 건물 남측 1층 주차장
80,수성관광호텔 주차타워 A1 B1 구역 전기차충전소,대구 수성구 용학로 106-7
81,차량등록사업소1 전기차충전소,대구 수성구 만촌동 1429-9
82,비슬산자연휴양림공영주차장 전기차충전소,대구 달성군 유가읍 용리 15
83,대구시설공단 신천둔치관리소 전기차충전소,대구 수성구 수성동1가 649-43 주차장
84,반야월자동차정비공장 전기차충전소,대구 동구 안심로55길 52
85,대구혁신도시서한이다음3차아파트 전기차충전소,대구 동구 혁신대로 443 701동 지하1층 주차장
86,차량등록사업소 서부분소 전기차충전소,대구 달서구 이곡동 1252-3 입구 좌측
87,시지삼주한라협화타운 전기차충전소,대구 수성구 신매로 91 지하1층 주차장
88,한국농어촌공사 경북지역본부 주차장 전기차충전소,대구 북구 구암동 651
89,대구시 북구 무태골프연습장 전기차충전소,대구 북구 서변동 1267
90,한국도로공사 유천IC 전기차충전소,대구 달성군 화원읍 구라리 1118-8
91,대구종합유통단지 전기조명관사업협동조합 전기차충전소,대구 북구 유통단지로 50
92,옥포미진이지비아 전기차충전소,대구 달성군 옥포읍 비슬로447길 56 지하주차장
93,시지사월보성타운2차 전기차충전소,대구 수성구 욱수천로 133
94,기아오토큐 남대구종합서비스 전기차충전소,대구 달서구 성서공단로54길 8
95,대영채비 주차장 전기차충전소,대구 달성군 유가읍 테크노순환로7길 25 본사
96,대구유통단지 전기재료관 전기차충전소,대구 북구 유통단지로 38
97,교동면옥다사점 전기차충전소,대구 달성군 다사읍 달구벌대로 858
98,두류공원 테니스장 전기차충전소,대구 달서구 두류동 597-3 지상주차장 테니스장 맞은편 안쪽
99,칠곡부영6단지 전기차충전소,대구 북구 구암로49길 24 지하1층 주차장
100,대구광역시 상수도사업본부 수질연구소 전기차충전소,대구 달서구 감삼동 663
101,기아오토큐 수성종합서비스 전기차충전소,대구 수성구 신천동로 25 검사소쪽 출입구 좌측
102,수성소방서 전기차충전소,대구 수성구 범물동 1259
103,동림플라자 전기차충전소,대구 북구 한강로8길 20
104,르노삼성자동차 대구사업소 전기차충전소,대구 서구 와룡로 392
105,한국도로공사 유천IC 전기차충전소,대구 달성군 화원읍 구라리 1118-8
106,대구종합유통단지 전기조명관사업협동조합 전기차충전소,대구 북구 유통단지로 50
107,옥포미진이지비아 전기차충전소,대구 달성군 옥포읍 비슬로447길 56 지하주차장
108,시지사월보성타운2차 전기차충전소,대구 수성구 욱수천로 133
109,기아오토큐 남대구종합서비스 전기차충전소,대구 달서구 성서공단로54길 8
110,대영채비 주차장 전기차충전소,대구 달성군 유가읍 테크노순환로7길 25 본사
111,대구유통단지 전기재료관 전기차충전소,대구 북구 유통단지로 38
112,교동면옥다사점 전기차충전소,대구 달성군 다사읍 달구벌대로 858
113,두류공원 테니스장 전기차충전소,대구 달서구 두류동 597-3 지상주차장 테니스장 맞은편 안쪽
114,칠곡부영6단지 전기차충전소,대구 북구 구암로49길 24 지하1층 주차장
115,대구광역시 상수도사업본부 수질연구소 전기차충전소,대구 달서구 감삼동 663
116,기아오토큐 수성종합서비스 전기차충전소,대구 수성구 신천동로 25 검사소쪽 출입구 좌측
117,수성소방서 전기차충전소,대구 수성구 범물동 1259
118,동림플라자 전기차충전소,대구 북구 한강로8길 20
119,르노삼성자동차 대구사업소 전기차충전소,대구 서구 와룡로 392
120,한국도로공사 유천IC 전기차충전소,대구 달성군 화원읍 구라리 1118-8
